trade_date,stock_code,predicted_return,actual_return,confidence,direction_prob,model_version,inference_time
2025-04-08,601138,0.0032036378979682922,0.05582592636346817,0.0032036378979682922,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,300454,0.0024376437067985535,0.013559909537434578,0.0024376437067985535,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,600036,0.0018840953707695007,-0.016893086954951286,0.0018840953707695007,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,300308,0.0018391311168670654,-0.004013609606772661,0.0018391311168670654,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,600584,0.0017796233296394348,0.035396430641412735,0.0017796233296394348,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,002465,0.0017489269375801086,0.05135704204440117,0.0017489269375801086,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,600887,0.0017365813255310059,0.02746257744729519,0.0017365813255310059,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,601318,0.0015909895300865173,-0.006731284782290459,0.0015909895300865173,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,300750,0.0015702173113822937,-0.03561052680015564,0.0015702173113822937,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,603501,0.001513451337814331,0.03864223137497902,0.001513451337814331,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,601012,0.0014017894864082336,0.013007692992687225,0.0014017894864082336,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,000568,0.0013837218284606934,0.020486043766140938,0.0013837218284606934,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,002594,0.001375935971736908,-0.00892493687570095,0.001375935971736908,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,600438,0.0013098716735839844,0.011080886237323284,0.0013098716735839844,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,002230,0.0011429190635681152,0.015073263086378574,0.0011429190635681152,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,600519,0.0010702013969421387,-0.0025663338601589203,0.0010702013969421387,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,300782,0.0010455325245857239,0.029301278293132782,0.0010455325245857239,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,000977,0.0010320991277694702,0.02369590476155281,0.0010320991277694702,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,000858,0.0008622705936431885,0.01132891420274973,0.0008622705936431885,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,688012,0.0008163377642631531,0.05961593985557556,0.0008163377642631531,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,002371,0.0005794242024421692,0.06509391963481903,0.0005794242024421692,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-08,688981,0.00029187649488449097,0.05915641784667969,0.00029187649488449097,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,601138,0.004821784794330597,0.09545394033193588,0.004821784794330597,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,600584,0.002759598195552826,0.02784881368279457,0.002759598195552826,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,603501,0.002604655921459198,0.027275238186120987,0.002604655921459198,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,002465,0.0023130103945732117,0.0190608911216259,0.0023130103945732117,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,300454,0.00220557302236557,-0.004238712601363659,0.00220557302236557,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,300750,0.002032548189163208,0.030705146491527557,0.002032548189163208,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,688012,0.0020162537693977356,0.010127071291208267,0.0020162537693977356,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,300782,0.0019778013229370117,0.009494910016655922,0.0019778013229370117,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,688981,0.001938842236995697,0.008502231910824776,0.001938842236995697,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,002371,0.0017926469445228577,-0.018624737858772278,0.0017926469445228577,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,002594,0.0016786456108093262,0.03571860492229462,0.0016786456108093262,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,600438,0.0016540288925170898,0.015590166673064232,0.0016540288925170898,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,300308,0.0015611350536346436,0.07361345738172531,0.0015611350536346436,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,601012,0.0015072077512741089,0.021512804552912712,0.0015072077512741089,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-04-09,000977,0.0014654025435447693,0.033382974565029144,0.0014654025435447693,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
